Step,Loss
1,2.4875
2,2.8266
3,2.3611
4,2.2536
5,2.0609
6,1.5485
7,1.2316
8,1.1882
9,0.8551
10,0.8773
11,0.7962
12,1.0834
13,0.9691
14,0.7269
15,0.7833
16,0.7642
17,0.8702
18,0.7711
19,0.784
20,0.7737
21,0.7446
22,0.9201
23,0.6532
24,0.813
25,0.9666
26,0.6352
27,0.8665
28,0.6163
29,0.796
30,0.8145
31,0.7722
32,0.7297
33,0.7435
34,0.544
35,0.8345
36,0.7355
37,0.7107
38,0.896
39,0.6867
40,0.7218
41,0.7899
42,0.6491
43,0.9674
44,0.8064
45,0.8114
46,0.5842
47,0.7111
48,0.6281
49,0.6962
50,0.8981
51,0.7117
52,0.6071
53,0.697
54,0.6913
55,0.935
56,0.7268
57,0.6843
58,0.797
59,0.5069
60,0.5263
61,0.5369
62,0.5183
63,0.4366
64,0.5767
65,0.6917
66,0.5502
67,0.6108
68,0.5134
69,0.522
70,0.4782
71,0.5341
72,0.6412
73,0.6083
74,0.5821
75,0.4589
76,0.6464
77,0.4267
78,0.5826
79,0.5252
80,0.538
81,0.557
82,0.5103
83,0.4015
84,0.5472
85,0.5046
86,0.635
87,0.4575
88,0.6579
89,0.4396
90,0.4464
91,0.6018
92,0.4868
93,0.6063
94,0.487
95,0.7064
96,0.7597
97,0.6045
98,0.5954
99,0.4216
100,0.5929
101,0.5197
102,0.4792
103,0.5415
104,0.4166
105,0.5875
106,0.5116
107,0.4549
108,0.5102
109,0.5999
110,0.4749
111,0.6968
112,0.5042
113,0.4762
114,0.5097
115,0.4295
116,0.5163
117,0.3417
118,0.2969
119,0.397
120,0.2553
121,0.3614
122,0.2756
123,0.2267
124,0.2561
125,0.3141
126,0.3653
127,0.3045
128,0.322
129,0.2592
130,0.3325
131,0.2592
132,0.2676
133,0.2147
134,0.213
135,0.3529
136,0.3081
137,0.2413
138,0.2768
139,0.269
140,0.3049
141,0.2916
142,0.3635
143,0.2433
144,0.3046
145,0.3019
146,0.3723
147,0.2091
148,0.335
149,0.2526
150,0.3534
151,0.2609
152,0.2983
153,0.3016
154,0.3064
155,0.2557
156,0.2233
157,0.2535
158,0.2576
159,0.2664
160,0.3674
161,0.2472
162,0.3203
163,0.2519
164,0.2414
165,0.3144
166,0.3557
167,0.2864
168,0.2488
169,0.3192
170,0.3227
171,0.3551
172,0.2636
173,0.2787
174,0.2421
175,0.1638
176,0.1798
177,0.1433
178,0.1654
179,0.1427
180,0.1672
181,0.1712
182,0.1343
183,0.1596
184,0.2076
185,0.1441
186,0.1412
187,0.1657
188,0.1733
189,0.1741
190,0.1572
191,0.1336
192,0.1116
193,0.171
194,0.2121
195,0.1359
196,0.2638
197,0.153
198,0.2189
199,0.1978
200,0.1497
201,0.1329
202,0.2108
203,0.1856
204,0.1545
205,0.1717
206,0.1574
207,0.1383
208,0.1347
209,0.1325
210,0.1522
211,0.1718
212,0.2128
213,0.2184
214,0.1516
215,0.1788
216,0.147
217,0.2004
218,0.1591
219,0.1514
220,0.141
221,0.1493
222,0.1679
223,0.1409
224,0.1698
225,0.1397
226,0.1552
227,0.1811
228,0.1174
229,0.1723
230,0.227
231,0.1854
232,0.1267
233,0.0809
234,0.1126
235,0.1105
236,0.1001
237,0.1157
238,0.11
239,0.1011
240,0.1141
241,0.1479
242,0.1046
243,0.1273
244,0.1093
245,0.0804
246,0.0974
247,0.092
248,0.1166
249,0.0857
250,0.0909
251,0.1101
252,0.1018
253,0.0956
254,0.1219
255,0.1077
256,0.1367
257,0.1166
258,0.0873
259,0.1304
260,0.1599
261,0.1039
262,0.1011
263,0.1242
264,0.1295
265,0.1336
266,0.0907
267,0.1542
268,0.1019
269,0.1038
270,0.1049
271,0.1539
272,0.1189
273,0.1362
274,0.1197
275,0.0903
276,0.0869
277,0.1072
278,0.0851
279,0.1183
280,0.1125
281,0.0969
282,0.1241
283,0.1009
284,0.1256
285,0.14
286,0.1161
287,0.1022
288,0.107
289,0.1647
290,0.0991
291,0.0653
292,0.086
293,0.0769
294,0.0768
295,0.0828
296,0.0683
297,0.0846
298,0.0798
299,0.0695
300,0.0733
301,0.0976
302,0.0802
303,0.0908
304,0.09
305,0.0807
306,0.0942
307,0.0746
308,0.092
309,0.0844
310,0.0765
311,0.0724
312,0.0847
313,0.0747
314,0.0761
315,0.0798
316,0.0741
317,0.0805
318,0.0914
319,0.0787
320,0.0738
321,0.0811
322,0.0835
323,0.0785
324,0.0911
325,0.0781
326,0.0932
327,0.0888
328,0.0682
329,0.0697
330,0.0925
331,0.1095
332,0.0739
333,0.0758
334,0.0966
335,0.0898
336,0.0807
337,0.1301
338,0.0769
339,0.0874
340,0.0896
341,0.0809
342,0.0836
343,0.0997
344,0.0768
345,0.1113
346,0.0827
347,0.0738
348,0.0942
349,0.0702
350,0.0623
351,0.0642
352,0.0683
353,0.0764
354,0.0711
355,0.0666
356,0.0546
357,0.0591
358,0.0625
359,0.0671
360,0.067
361,0.0661
362,0.0704
363,0.0699
364,0.0639
365,0.0707
366,0.0606
367,0.0708
368,0.0606
369,0.0775
370,0.0704
371,0.0678
372,0.0744
373,0.0683
374,0.0677
