Step,Loss
1,2.5575
2,2.4945
3,2.6274
4,2.3736
5,2.0847
6,1.794
7,1.3489
8,1.5219
9,1.1229
10,1.0025
11,0.8459
12,0.7732
13,0.7022
14,0.6539
15,0.7378
16,0.6808
17,0.772
18,0.6726
19,0.5686
20,0.6911
21,0.662
22,0.6736
23,0.6518
24,0.6791
25,0.4669
26,0.6824
27,0.7021
28,0.9938
29,0.5247
30,0.5742
31,0.6391
32,0.6323
33,0.5827
34,0.5125
35,0.5893
36,0.6744
37,0.555
38,0.7045
39,0.5547
40,0.5179
41,0.7122
42,0.5919
43,0.4192
44,0.4583
45,0.5276
46,0.333
47,0.5404
48,0.5509
49,0.51
50,0.5311
51,0.564
52,0.4566
53,0.5799
54,0.6157
55,0.5418
56,0.5279
57,0.6661
58,0.5058
59,0.4666
60,0.3903
61,0.5232
62,0.5625
63,0.4954
64,0.5842
65,0.6021
66,0.4717
67,0.4456
68,0.5286
69,0.3991
70,0.5098
71,0.3991
72,0.5482
73,0.4716
74,0.47
75,0.5664
76,0.4874
77,0.4678
78,0.4057
79,0.4883
80,0.5751
81,0.4687
82,0.7425
83,0.4665
84,0.4642
85,0.5648
86,0.4786
87,0.5254
88,0.2853
89,0.4343
90,0.3821
91,0.4728
92,0.3048
93,0.3676
94,0.2833
95,0.2998
96,0.2417
97,0.3249
98,0.324
99,0.3389
100,0.3653
101,0.2998
102,0.2849
103,0.2381
104,0.3489
105,0.2803
106,0.4728
107,0.2796
108,0.3436
109,0.305
110,0.2383
111,0.353
112,0.3464
113,0.265
114,0.3534
115,0.3122
116,0.2562
117,0.3233
118,0.2993
119,0.4016
120,0.3887
121,0.2862
122,0.2876
123,0.3077
124,0.36
125,0.2956
126,0.3225
127,0.2989
128,0.3391
129,0.3052
130,0.2587
131,0.3756
132,0.1559
133,0.1462
134,0.1616
135,0.1889
136,0.1775
137,0.2108
138,0.1526
139,0.1455
140,0.2145
141,0.1266
142,0.1543
143,0.1518
144,0.1691
145,0.2324
146,0.1693
147,0.1782
148,0.1452
149,0.162
150,0.1987
151,0.1909
152,0.1759
153,0.2271
154,0.2199
155,0.1771
156,0.1515
157,0.1775
158,0.1803
159,0.1584
160,0.2205
161,0.1868
162,0.159
163,0.1362
164,0.1714
165,0.1584
166,0.2348
167,0.1657
168,0.184
169,0.2058
170,0.1917
171,0.171
172,0.1808
173,0.1861
174,0.181
175,0.1126
176,0.1095
177,0.0883
178,0.1051
179,0.0797
180,0.1435
181,0.1042
182,0.1195
183,0.1172
184,0.1072
185,0.1008
186,0.1185
187,0.0791
188,0.0872
189,0.1403
190,0.1095
191,0.1021
192,0.0841
193,0.1049
194,0.1031
195,0.0922
196,0.1037
197,0.0903
198,0.1083
199,0.0881
200,0.1004
201,0.1134
202,0.1289
203,0.0975
204,0.1138
205,0.1037
206,0.1171
207,0.1231
208,0.1128
209,0.1033
210,0.1383
211,0.1296
212,0.131
213,0.1064
214,0.1443
215,0.0867
216,0.1124
217,0.1178
218,0.1094
219,0.0634
220,0.0666
221,0.0798
222,0.0888
223,0.0666
224,0.0614
225,0.0712
226,0.068
227,0.064
228,0.0679
229,0.0955
230,0.0736
231,0.0551
232,0.0793
233,0.0781
234,0.0664
235,0.0589
236,0.081
237,0.0738
238,0.0819
239,0.0773
240,0.0795
241,0.0736
242,0.0698
243,0.0723
244,0.0864
245,0.0809
246,0.0691
247,0.0845
248,0.0769
249,0.0733
250,0.0727
251,0.0716
252,0.0723
253,0.1281
254,0.0861
255,0.0672
256,0.0662
257,0.0725
258,0.0784
259,0.0687
260,0.0782
261,0.0725
262,0.0583
263,0.0492
264,0.0585
265,0.0525
266,0.0551
267,0.0477
268,0.0587
269,0.0578
270,0.0567
271,0.0694
272,0.0652
273,0.0587
274,0.0595
275,0.0531
276,0.051
277,0.0548
278,0.0505
279,0.0543
280,0.071
281,0.0579
282,0.0556
283,0.0591
284,0.0559
285,0.0622
286,0.0563
287,0.053
288,0.0512
289,0.0598
290,0.0645
291,0.082
292,0.0592
293,0.0605
294,0.0598
295,0.0614
296,0.0654
297,0.0572
298,0.0509
299,0.0564
300,0.0674
